comparison_condition,reference_condition,threat_model,seed,metric,difference_dp_minus_non_private
dp_eps_2,non_private,label_aware_audit,42,mia_advantage,0.005556878621894135
dp_eps_2,non_private,label_aware_audit,42,mia_balanced_accuracy,0.003215051202667296
dp_eps_2,non_private,label_aware_audit,42,tpr_at_1pct_fpr,0.0
dp_eps_2,non_private,label_aware_audit,42,tpr_at_5pct_fpr,0.0
dp_eps_2,non_private,label_aware_audit,52,mia_auc,-0.0007929638506578573
dp_eps_2,non_private,label_aware_audit,52,mia_advantage,0.00015876796062558318
dp_eps_2,non_private,label_aware_audit,52,mia_balanced_accuracy,-0.0012701436850043324
dp_eps_2,non_private,label_aware_audit,52,tpr_at_1pct_fpr,0.0
dp_eps_2,non_private,label_aware_audit,52,tpr_at_5pct_fpr,0.0
dp_eps_2,non_private,label_aware_audit,62,mia_auc,0.000245972495004132
dp_eps_2,non_private,label_aware_audit,62,mia_advantage,0.0028578232912597756
dp_eps_2,non_private,label_aware_audit,62,mia_balanced_accuracy,0.00142891164562986
dp_eps_2,non_private,label_aware_audit,62,tpr_at_1pct_fpr,0.0
dp_eps_2,non_private,label_aware_audit,62,tpr_at_5pct_fpr,0.0
dp_eps_2,non_private,label_aware_audit,72,mia_auc,0.0001630563466382684
dp_eps_2,non_private,label_aware_audit,72,mia_advantage,0.005477494641581371
dp_eps_2,non_private,label_aware_audit,72,mia_balanced_accuracy,-0.00047630388187669404
dp_eps_2,non_private,label_aware_audit,72,tpr_at_1pct_fpr,0.0
dp_eps_2,non_private,label_aware_audit,72,tpr_at_5pct_fpr,0.0
dp_eps_2,non_private,label_aware_audit,82,mia_auc,0.0031171997495986203
dp_eps_2,non_private,label_aware_audit,82,mia_advantage,0.0031753592125107755
dp_eps_2,non_private,label_aware_audit,82,mia_balanced_accuracy,-0.003572279114074872
dp_eps_2,non_private,label_aware_audit,82,tpr_at_1pct_fpr,0.0
dp_eps_2,non_private,label_aware_audit,82,tpr_at_5pct_fpr,0.0
