condition,seed,subset,threat_model,attack_model,feature_set,n,members,nonmembers,mia_auc,mia_advantage,mia_balanced_accuracy,mia_precision,mia_recall,tpr_at_1pct_fpr,tpr_at_5pct_fpr,operating_threshold,shadow_calibration_auc,analysis_role,run_source,formal_dp,target_epsilon,actual_epsilon,delta,noise_multiplier
non_private,42,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5017771153560524,0.008970389775343368,0.5020242914979758,0.5017138248538208,0.5926014130348496,0.0,0.0,0.49985956900833967,0.5009336124463495,secondary,accepted_experiment_05,False,,,,
non_private,42,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5014386384991358,0.005636262602206843,0.5000396919901564,0.5000320286977131,0.6196713503215051,0.0,0.0,-1.4543639e-05,0.49978941001571253,secondary,accepted_experiment_05,False,,,,
dp_eps_4,42,overall,score_only_black_box,random_forest,prob_attack,25194,12597,12597,0.5030609465861262,0.01254266888941813,0.5001587679606255,0.5007541478129713,0.10542192585536239,0.009287925696594427,0.05072636341986187,0.6580489320797822,0.5027942052038461,secondary,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,42,overall,label_aware_audit,random_forest,loss + correctness,25194,12597,12597,0.5035969507250079,0.013415892672858698,0.5005556878621894,0.5012114918656975,0.22989600698579027,0.008573469873779471,0.04707470032547432,0.5588558222769949,0.5025996363157601,secondary,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_2,42,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5029159922068966,0.01174882908629038,0.5008732237834405,0.5008639648130694,0.5062316424545527,0.0,0.0,0.49980178014216076,0.5018781072656153,secondary,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
dp_eps_2,42,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5016083243565534,0.011193141224100978,0.5032547431928237,0.504264614104431,0.38485353655632293,0.0,0.0,-1.6808652e-05,0.49704851394612953,secondary,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
non_private,52,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5047815346496959,0.013495276653171406,0.501031991744066,0.5009714541921985,0.5321902040168294,0.0,0.0,0.49985956900833967,0.5009336124463495,secondary,trained_experiment_06,False,,,,
non_private,52,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.502346333217903,0.011828213066603144,0.5011510677145352,0.500930740098851,0.6195125823608796,0.0,0.0,-1.4543639e-05,0.49978941001571253,secondary,trained_experiment_06,False,,,,
dp_eps_4,52,overall,score_only_black_box,random_forest,prob_attack,25194,12597,12597,0.5036177341152652,0.011510677145352144,0.5002778439310946,0.5013905442987684,0.10018258315471938,0.009129157735968882,0.04969437167579582,0.6580489320797822,0.5027942052038461,secondary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,52,overall,label_aware_audit,random_forest,loss + correctness,25194,12597,12597,0.5010999473804638,0.010081765499722173,0.5,0.5,0.20838294832102883,0.009764229578471064,0.04548702071921886,0.5588558222769949,0.5025996363157601,secondary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_2,52,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5036694121600819,0.011986981027228727,0.5013495276653172,0.5013425999052282,0.5039295070254822,0.0,0.0,0.49980178014216076,0.5018781072656153,secondary,trained_experiment_06,True,2.0,1.9990375327333947,1.134031140495118e-05,0.88134765625
