condition,formal_dp,actual_epsilon,delta,split,threshold_policy,threshold,accuracy,precision,recall,f1,fnr,fpr,roc_auc,pr_auc,tn,fp,fn,tp
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,target_validation,default_0_5,0.5,0.98253552433119,0.9906103286384976,0.9716868497356302,0.9810573445841226,0.0283131502643697,0.008019008019008,0.9972359038963168,0.9974620472754692,6680,54,166,5697
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,KDDTest+,default_0_5,0.5,0.7366483321504613,0.915621986499518,0.5919114782202135,0.7190117847508164,0.4080885217797865,0.0720832046133251,0.8375410502780734,0.8967102529314104,9011,700,5237,7596
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.801277501774308,0.9201287596821244,0.7127717603054625,0.8032844471766049,0.2872282396945375,0.0817629492328287,0.8375410502780734,0.8967102529314104,8917,794,3686,9147
