condition,formal_dp,target_epsilon,actual_epsilon,delta,noise_multiplier,max_grad_norm,batch_size,sample_rate,epochs,optimizer,learning_rate,weight_decay,accountant,poisson_sampling,secure_mode,training_seconds,selected_threshold,model_state_path,model_sha256
non_private,False,,,,,,256,,30,Adam,0.001,0.0001,,False,False,41.0140745639801,0.29000000000000004,/content/drive/MyDrive/ML-DP-NID/artifacts/models/dp_sgd_sweep/non_private.pt,c380553509ec2b66f3d8734a12905688e9a9d7178d420790c26dc1b869710102
dp_eps_8,True,8.0,7.99364894672444,1.134031140495118e-05,0.560302734375,1.0,256,0.002898550724637681,30,Adam,0.001,0.0001,prv,True,False,91.87378263473511,0.03,/content/drive/MyDrive/ML-DP-NID/artifacts/models/dp_sgd_sweep/dp_eps_8.pt,affc8ebbbed875a98295e7c169c33211961f46e401405758b202a4e6b5cffc6b
dp_eps_4,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125,1.0,256,0.002898550724637681,30,Adam,0.001,0.0001,prv,True,False,85.54690051078796,0.02,/content/drive/MyDrive/ML-DP-NID/artifacts/models/dp_sgd_sweep/dp_eps_4.pt,7ca77b11bb5dc47f6f0549b6ef77019c2061916bd3be77ca8be9d81f4df92fcf
dp_eps_2,True,2.0,1.9990375327333947,1.134031140495118e-05,0.88134765625,1.0,256,0.002898550724637681,30,Adam,0.001,0.0001,prv,True,False,85.47071266174316,0.03,/content/drive/MyDrive/ML-DP-NID/artifacts/models/dp_sgd_sweep/dp_eps_2.pt,1757fc45b5e89df8d8d46f84a981ec1319d949018c5542133799e2bee3baa26f
