condition,subset,threat_model,attack_model,feature_set,n,members,nonmembers,mia_auc,mia_auc_ci_low,mia_auc_ci_high,mia_advantage,mia_advantage_ci_low,mia_advantage_ci_high,mia_balanced_accuracy,mia_precision,mia_recall,tpr_at_1pct_fpr,tpr_at_5pct_fpr,operating_threshold,shadow_calibration_auc,formal_dp,target_epsilon,actual_epsilon,delta,noise_multiplier,split,threshold_policy,threshold,accuracy,precision,recall,f1,fnr,fpr,roc_auc,pr_auc,tn,fp,fn,tp
dp_eps_2,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5016083243565534,0.493911662855753,0.5084787963587285,0.011193141224100978,0.0029342648858812007,0.024212985405050097,0.5032547431928237,0.504264614104431,0.38485353655632293,0.0,0.0,-1.6808652e-05,0.49704851394612953,True,2.0,1.9990375327333947,1.134031140495118e-05,0.88134765625,KDDTest+,validation_selected_F2,0.03,0.7853530872959545,0.916875260742595,0.6850307800202603,0.7841755497078632,0.3149692199797397,0.0820718772526001,0.8334451721934482,0.895967351762364,8914,797,4042,8791
dp_eps_2,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5029159922068966,0.49599576095640313,0.5100713757478378,0.01174882908629038,0.004590214416136715,0.02426482583062481,0.5008732237834405,0.5008639648130694,0.5062316424545527,0.0,0.0,0.49980178014216076,0.5018781072656153,True,2.0,1.9990375327333947,1.134031140495118e-05,0.88134765625,KDDTest+,validation_selected_F2,0.03,0.7853530872959545,0.916875260742595,0.6850307800202603,0.7841755497078632,0.3149692199797397,0.0820718772526001,0.8334451721934482,0.895967351762364,8914,797,4042,8791
dp_eps_4,overall,label_aware_audit,random_forest,loss + correctness,25194,12597,12597,0.5035969507250079,0.49690527093004516,0.5115131108743155,0.013415892672858698,0.004949357408164052,0.02764709825871214,0.5005556878621894,0.5012114918656975,0.22989600698579027,0.008573469873779471,0.04707470032547432,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125,KDDTest+,validation_selected_F2,0.02,0.8066447835344216,0.9162900373354294,0.7267201745499883,0.8105688583720829,0.2732798254500116,0.0877355576150756,0.83883158045028,0.8977608403572535,8859,852,3507,9326
dp_eps_4,overall,score_only_black_box,random_forest,prob_attack,25194,12597,12597,0.5030609465861262,0.49601427880026816,0.510202185389338,0.01254266888941813,0.005715593541725028,0.024731594093806476,0.5001587679606255,0.5007541478129713,0.10542192585536239,0.009287925696594427,0.05072636341986187,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125,KDDTest+,validation_selected_F2,0.02,0.8066447835344216,0.9162900373354294,0.7267201745499883,0.8105688583720829,0.2732798254500116,0.0877355576150756,0.83883158045028,0.8977608403572535,8859,852,3507,9326
dp_eps_8,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5020314314558779,0.4949218687014085,0.5085837468937429,0.011113757243788214,0.0031873098127327792,0.023426220989092823,0.5005953798523458,0.5003941352672238,0.7558942605382234,0.0,0.0,-0.0008858789,0.49895824436662656,True,8.0,7.99364894672444,1.134031140495118e-05,0.560302734375,KDDTest+,validation_selected_F2,0.03,0.801277501774308,0.9201287596821244,0.7127717603054625,0.8032844471766049,0.2872282396945375,0.0817629492328287,0.8375410502780734,0.8967102529314104,8917,794,3686,9147
dp_eps_8,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5028193034389409,0.4960491618611018,0.5092906990746413,0.012145748987854255,0.004590745805286778,0.024208304441614193,0.5000793839803127,0.5000798722044728,0.497023100738271,0.0,0.0,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05,0.560302734375,KDDTest+,validation_selected_F2,0.03,0.801277501774308,0.9201287596821244,0.7127717603054625,0.8032844471766049,0.2872282396945375,0.0817629492328287,0.8375410502780734,0.8967102529314104,8917,794,3686,9147
non_private,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5014386384991358,0.49426899055847767,0.5084872123249896,0.005636262602206843,0.003475770607452,0.018976777424295155,0.5000396919901564,0.5000320286977131,0.6196713503215051,0.0,0.0,-1.4543639e-05,0.49978941001571253,False,,,,,KDDTest+,validation_selected_F2,0.29,0.8165365507452094,0.9589445910290236,0.7080183900880542,0.814595660749507,0.2919816099119457,0.0400576665636906,0.9103638879025004,0.935713551393365,9322,389,3747,9086
non_private,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.501777124808777,0.4949262059877497,0.5089140573949186,0.008970389775343368,0.0029625350429185212,0.01974897487807678,0.5020242914979758,0.5017138248538208,0.5926014130348496,0.0,0.0,0.49985956900833967,0.5009336124463495,False,,,,,KDDTest+,validation_selected_F2,0.29,0.8165365507452094,0.9589445910290236,0.7080183900880542,0.814595660749507,0.2919816099119457,0.0400576665636906,0.9103638879025004,0.935713551393365,9322,389,3747,9086
