reference_condition,comparison_condition,threat_model,subset,metric,n,reference_attack_model,comparison_attack_model,reference_estimate,comparison_estimate,difference_dp_minus_non_private,difference_ci_low,difference_ci_high,supports_measured_reduction,bootstrap_n,target_epsilon,actual_epsilon,delta
non_private,dp_eps_8,label_aware_audit,family_group=Probe,mia_auc,2332,loss_threshold,loss_threshold,0.5167039827708457,0.501962405373519,-0.014741577397326733,-0.032295447461241134,0.0032441359711513043,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,family_group=Probe,mia_advantage,2332,loss_threshold,loss_threshold,0.036020583190394584,0.023156089193825058,-0.012864493996569526,-0.040573741881156304,0.012499527289105306,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,family_group=Rare,mia_auc,208,loss_threshold,loss_threshold,0.6462185650887574,0.5671227810650887,-0.07909578402366868,-0.13462962544259094,-0.02265511447826595,True,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,family_group=Rare,mia_advantage,208,loss_threshold,loss_threshold,0.24038461538461542,0.15384615384615385,-0.08653846153846156,-0.1777746680049165,-0.006541147836192534,True,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,overall,mia_auc,25194,logistic_regression,random_forest,0.501777124808777,0.5030609465861262,0.0012838217773492033,-0.009119216367970855,0.011828341644003575,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,overall,mia_advantage,25194,logistic_regression,random_forest,0.008970389775343368,0.01254266888941813,0.003572279114074761,-0.00987885648621775,0.015739089851434306,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,binary_group=Attack,mia_auc,11726,logistic_regression,random_forest,0.5045752889277598,0.5025692099923639,-0.0020060789353959496,-0.013234859456365395,0.011284933873129363,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,binary_group=Attack,mia_advantage,11726,logistic_regression,random_forest,0.01210984137813409,0.018250042640286512,0.006140201262152423,-0.010890840964760017,0.0192452375982104,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,binary_group=Normal,mia_auc,13468,logistic_regression,random_forest,0.5026672359980943,0.5041024654553018,0.001435229457207532,-0.012483219045885938,0.015239052290504962,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,binary_group=Normal,mia_advantage,13468,logistic_regression,random_forest,0.01678051678051684,0.013068013068013085,-0.0037125037125037563,-0.01868175835902621,0.01546600453047978,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=DoS,mia_auc,9186,logistic_regression,random_forest,0.502973575261894,0.5019153949707829,-0.0010581802911111549,-0.011918512660175934,0.011053648176244596,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=DoS,mia_advantage,9186,logistic_regression,random_forest,0.007620291748312691,0.016546919224907475,0.008926627476594784,-0.006702133279345276,0.02229324310068512,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=Normal,mia_auc,13468,logistic_regression,random_forest,0.5026672359980943,0.5041024654553018,0.001435229457207532,-0.011714716195200788,0.015552546217645341,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=Normal,mia_advantage,13468,logistic_regression,random_forest,0.01678051678051684,0.013068013068013085,-0.0037125037125037563,-0.01928501138572132,0.016177526151618434,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=Probe,mia_auc,2332,logistic_regression,random_forest,0.5167039827708457,0.5058397741615646,-0.010864208609281167,-0.042404433221557535,0.01858929668496311,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=Probe,mia_advantage,2332,logistic_regression,random_forest,0.036020583190394584,0.0317324185248713,-0.004288164665523286,-0.050606946062654756,0.03447451606214408,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=Rare,mia_auc,208,logistic_regression,random_forest,0.6462185650887574,0.5235299556213017,-0.12268860946745574,-0.23000369183616604,-0.004818819761052882,True,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=Rare,mia_advantage,208,logistic_regression,random_forest,0.24038461538461542,0.15384615384615385,-0.08653846153846156,-0.25275086253618684,0.05069195090492485,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,overall,mia_auc,25194,loss_threshold,random_forest,0.5014386384991358,0.5035969507250079,0.002158312225872039,-0.007619102952371004,0.0120151145150779,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,overall,mia_advantage,25194,loss_threshold,random_forest,0.005636262602206843,0.013415892672858698,0.007779630070651855,-0.0070401300587181635,0.018122027773424716,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,binary_group=Attack,mia_auc,11726,loss_threshold,random_forest,0.5045752889277598,0.5046393329944996,6.40440667397657e-05,-0.011662341612590554,0.011573770658642827,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,binary_group=Attack,mia_advantage,11726,loss_threshold,random_forest,0.01210984137813409,0.02012621524816649,0.0080163738700324,-0.007070876895378791,0.021469340345943777,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,binary_group=Normal,mia_auc,13468,loss_threshold,random_forest,0.49737626215202696,0.5005336544911835,0.0031573923391565173,-0.010521693220241414,0.017633810036933956,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,binary_group=Normal,mia_advantage,13468,loss_threshold,random_forest,0.00579150579150578,0.011880011880011865,0.006088506088506085,-0.01475024343593766,0.02136720003377509,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,family_group=DoS,mia_auc,9186,loss_threshold,random_forest,0.502973575261894,0.5015066139941937,-0.0014669612677002952,-0.013178741128909351,0.010063447938714321,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,family_group=DoS,mia_advantage,9186,loss_threshold,random_forest,0.007620291748312691,0.014369693011103912,0.0067494012627912214,-0.005163599720654832,0.02074415458810046,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,family_group=Normal,mia_auc,13468,loss_threshold,random_forest,0.49737626215202696,0.5005336544911835,0.0031573923391565173,-0.011055945783204537,0.01645034132800767,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,family_group=Normal,mia_advantage,13468,loss_threshold,random_forest,0.00579150579150578,0.011880011880011865,0.006088506088506085,-0.01408727858247807,0.023205562049258967,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,family_group=Probe,mia_auc,2332,loss_threshold,random_forest,0.5167039827708457,0.5110010179793991,-0.0057029647914466075,-0.038961191932877545,0.026250779476681294,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,family_group=Probe,mia_advantage,2332,loss_threshold,random_forest,0.036020583190394584,0.03945111492281306,0.0034305317324184736,-0.04512665586693208,0.03745041889363467,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,family_group=Rare,mia_auc,208,loss_threshold,random_forest,0.6462185650887574,0.5471523668639053,-0.09906619822485208,-0.20903279904574085,0.017026976990678358,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,label_aware_audit,family_group=Rare,mia_advantage,208,loss_threshold,random_forest,0.24038461538461542,0.11538461538461542,-0.125,-0.2761479553728206,0.044642857142857095,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,overall,mia_auc,25194,logistic_regression,logistic_regression,0.501777124808777,0.5029159922068966,0.0011388673981196362,-0.0017995900753503323,0.004202716445172142,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,overall,mia_advantage,25194,logistic_regression,logistic_regression,0.008970389775343368,0.01174882908629038,0.002778439310947012,-0.005810718982630525,0.009653580650336344,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,binary_group=Attack,mia_auc,11726,logistic_regression,logistic_regression,0.5045752889277598,0.5082843174887954,0.00370902856103561,-0.00312612923768249,0.010713331703232156,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,binary_group=Attack,mia_advantage,11726,logistic_regression,logistic_regression,0.01210984137813409,0.024901927340951646,0.012792085962817556,-0.000643557281186868,0.024447583150516997,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,binary_group=Normal,mia_auc,13468,logistic_regression,logistic_regression,0.5026672359980943,0.5032389748011963,0.0005717388031020176,-0.008393293300660234,0.009394718070434304,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,binary_group=Normal,mia_advantage,13468,logistic_regression,logistic_regression,0.01678051678051684,0.015295515295515288,-0.0014850014850015525,-0.015450119782261962,0.013567975664013509,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,family_group=DoS,mia_auc,9186,logistic_regression,logistic_regression,0.502973575261894,0.5080236687669576,0.00505009350506358,-0.0032883373027049827,0.013836749131636678,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,family_group=DoS,mia_advantage,9186,logistic_regression,logistic_regression,0.007620291748312691,0.026344437187023728,0.018724145438711037,0.005274385623876382,0.03351601437479001,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,family_group=Normal,mia_auc,13468,logistic_regression,logistic_regression,0.5026672359980943,0.5032389748011963,0.0005717388031020176,-0.008561694395587563,0.009179377592424797,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,family_group=Normal,mia_advantage,13468,logistic_regression,logistic_regression,0.01678051678051684,0.015295515295515288,-0.0014850014850015525,-0.01397640460586576,0.014356845276570473,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,family_group=Probe,mia_auc,2332,logistic_regression,logistic_regression,0.5167039827708457,0.5038519928564914,-0.012851989914354323,-0.031185912032385035,0.003419499359846834,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,family_group=Probe,mia_advantage,2332,logistic_regression,logistic_regression,0.036020583190394584,0.02572898799313894,-0.010291595197255643,-0.03984809982264204,0.014498741032418716,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,family_group=Rare,mia_auc,208,logistic_regression,logistic_regression,0.6462185650887574,0.5646264792899408,-0.0815920857988166,-0.14558765980186628,-0.025276211791740093,True,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,score_only_black_box,family_group=Rare,mia_advantage,208,logistic_regression,logistic_regression,0.24038461538461542,0.14423076923076927,-0.09615384615384615,-0.17116815476190475,0.0037342636263605735,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,overall,mia_auc,25194,loss_threshold,loss_threshold,0.5014386384991358,0.5016083243565534,0.00016968585741761189,-0.004173332254754501,0.004561385359877708,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
non_private,dp_eps_2,label_aware_audit,overall,mia_advantage,25194,loss_threshold,loss_threshold,0.005636262602206843,0.011193141224100978,0.005556878621894135,-0.0050236855216644035,0.01135935488023031,False,1000,2.0,1.9990375327333947,1.134031140495118e-05
