split,threshold_policy,threshold,accuracy,precision,recall,f1,fnr,fpr,roc_auc,pr_auc,tn,fp,fn,tp
target_validation,default_0_5,0.5,0.9952369611812336,0.9965771008043813,0.9931775541531639,0.9948744233726294,0.006822445846836091,0.00297000297000297,0.9998051742892269,0.999799455689373,6714,20,40,5823
KDDTest+,default_0_5,0.5,0.795111781405252,0.9234893792534543,0.69788825683784,0.7949935644223515,0.30211174316216005,0.0764081968901246,0.8981465867506093,0.9170645200569354,8969,742,3877,8956
KDDTest+,validation_selected_F2,0.24000000000000002,0.8007008516678495,0.9228351247211519,0.7091872516169251,0.8020268781669971,0.29081274838307486,0.07836474101534342,0.8981465867506093,0.9170645200569354,8950,761,3732,9101
