shadow_seed,member_rows,nonmember_rows,training_seconds,n_iter,max_iter,reached_max_iter,final_loss
101,12597,12598,7.3395655155181885,30,30,True,0.019877830725259088
202,12597,12598,2.8334898948669434,30,30,True,0.01528245739180535
303,12597,12598,2.7928876876831055,30,30,True,0.021174211737764823
404,12597,12598,6.8767313957214355,30,30,True,0.019179705706540748
505,12597,12598,3.5960800647735596,30,30,True,0.02136427435530408
