condition,subset,threat_model,attack_model,feature_set,n,members,nonmembers,mia_auc,mia_auc_ci_low,mia_auc_ci_high,mia_advantage,mia_advantage_ci_low,mia_advantage_ci_high,mia_balanced_accuracy,mia_precision,mia_recall,tpr_at_1pct_fpr,tpr_at_5pct_fpr,operating_threshold,shadow_calibration_auc,formal_dp,target_epsilon,actual_epsilon,delta,evidence_scope
non_private,binary_group=Attack,score_only_black_box,logistic_regression,prob_attack,11726,5863,5863,0.5045752889277598,0.4953080118100809,0.5137104938882707,0.012109841378134,0.0056933625222194,0.0291220436687885,0.5,0.5,1.0,0.0,0.0,0.4998595690083396,0.5009336124463495,False,,,,Experiment 05 seed 42; exploratory
non_private,binary_group=Normal,score_only_black_box,logistic_regression,prob_attack,13468,6734,6734,0.5026672359980943,0.4932788971024487,0.5120508847358834,0.0167805167805168,0.0062045959307346,0.0323998430991673,0.5037867537867537,0.5080875356803045,0.2378972378972379,0.0089100089100089,0.049005049005049,0.4998595690083396,0.5009336124463495,False,,,,Experiment 05 seed 42; exploratory
non_private,family_group=DoS,score_only_black_box,logistic_regression,prob_attack,9186,4593,4593,0.502973575261894,0.4948131474000843,0.5116248116080763,0.0076202917483126,0.0010356636820685,0.0234471846085259,0.5,0.5,1.0,0.0,0.0,0.4998595690083396,0.5009336124463495,False,,,,Experiment 05 seed 42; exploratory
non_private,family_group=Normal,score_only_black_box,logistic_regression,prob_attack,13468,6734,6734,0.5026672359980943,0.4924572565970754,0.5125922047452088,0.0167805167805168,0.0075281068456148,0.0322850732281003,0.5037867537867537,0.5080875356803045,0.2378972378972379,0.0089100089100089,0.049005049005049,0.4998595690083396,0.5009336124463495,False,,,,Experiment 05 seed 42; exploratory
non_private,family_group=Probe,score_only_black_box,logistic_regression,prob_attack,2332,1166,1166,0.5167039827708457,0.4947357989337004,0.5401913472461837,0.0360205831903945,0.0202313834792067,0.0799407212551049,0.5,0.5,1.0,0.0,0.0,0.4998595690083396,0.5009336124463495,False,,,,Experiment 05 seed 42; exploratory
non_private,family_group=Rare,score_only_black_box,logistic_regression,prob_attack,208,104,104,0.6462185650887574,0.5675679432112418,0.72282929896603,0.2403846153846154,0.1634131928272007,0.3862617121282169,0.5,0.5,1.0,0.0865384615384615,0.1826923076923076,0.4998595690083396,0.5009336124463495,False,,,,Experiment 05 seed 42; exploratory
non_private,binary_group=Attack,label_aware_audit,loss_threshold,loss,11726,5863,5863,0.5045752889277598,0.4956997453453575,0.5135117895168311,0.012109841378134,0.0061073622123612,0.0290299764948811,0.5000852805730854,0.5000511404316252,0.8338734436295412,0.0,0.0,-1.4543639e-05,0.4997894100157125,False,,,,Experiment 05 seed 42; exploratory
non_private,binary_group=Normal,label_aware_audit,loss_threshold,loss,13468,6734,6734,0.4973762621520269,0.487918259409805,0.5072286627543726,0.0057915057915057,0.002278958493862,0.0246755946063661,0.5,0.5,0.4331749331749331,0.0,0.0326700326700326,-1.4543639e-05,0.4997894100157125,False,,,,Experiment 05 seed 42; exploratory
non_private,family_group=DoS,label_aware_audit,loss_threshold,loss,9186,4593,4593,0.502973575261894,0.4946323915864606,0.5118485321258163,0.0076202917483126,0.0013009036742834,0.0229471482940548,0.4996734160679295,0.4998271690286899,0.9444807315480078,0.0,0.0,-1.4543639e-05,0.4997894100157125,False,,,,Experiment 05 seed 42; exploratory
non_private,family_group=Normal,label_aware_audit,loss_threshold,loss,13468,6734,6734,0.4973762621520269,0.4871152110431632,0.5072086492942925,0.0057915057915057,0.0022980330977111,0.0259443083672555,0.5,0.5,0.4331749331749331,0.0,0.0326700326700326,-1.4543639e-05,0.4997894100157125,False,,,,Experiment 05 seed 42; exploratory
non_private,family_group=Probe,label_aware_audit,loss_threshold,loss,2332,1166,1166,0.5167039827708457,0.4952565310023664,0.5394391989616116,0.0360205831903945,0.0222555644025406,0.0839554697009284,0.5017152658662093,0.5018214936247724,0.4725557461406518,0.0,0.0,-1.4543639e-05,0.4997894100157125,False,,,,Experiment 05 seed 42; exploratory
non_private,family_group=Rare,label_aware_audit,loss_threshold,loss,208,104,104,0.6462185650887574,0.5712081517219127,0.7165726288945093,0.2403846153846154,0.1600438530734632,0.3807012992373817,0.5,0.0,0.0,0.0865384615384615,0.1826923076923076,-1.4543639e-05,0.4997894100157125,False,,,,Experiment 05 seed 42; exploratory
dp_eps_8,binary_group=Attack,score_only_black_box,logistic_regression,prob_attack,11726,5863,5863,0.5086077960262075,0.4987914932495318,0.5182648001490167,0.0257547330718062,0.0117536819577032,0.0442447930414304,0.500767525157769,0.5003877638948729,0.9904485758144296,0.0,0.0,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_8,binary_group=Normal,score_only_black_box,logistic_regression,prob_attack,13468,6734,6734,0.5026273544242061,0.4933787809842344,0.5125403911456557,0.0124740124740124,0.0067396360121985,0.0278015195524803,0.4994802494802495,0.4961748633879781,0.0674190674190674,0.0112860112860112,0.0504900504900504,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_8,family_group=DoS,score_only_black_box,logistic_regression,prob_attack,9186,4593,4593,0.5089706886950953,0.4988894369811196,0.5188383685187211,0.028957108643588,0.0145675611474873,0.0479109202904121,0.5001088613106902,0.5000549269471602,0.9910733725234052,0.0,0.0,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_8,family_group=Normal,score_only_black_box,logistic_regression,prob_attack,13468,6734,6734,0.5026273544242061,0.4924698460520524,0.5122336856217572,0.0124740124740124,0.0064352907375298,0.0283085561981178,0.4994802494802495,0.4961748633879781,0.0674190674190674,0.0112860112860112,0.0504900504900504,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_8,family_group=Probe,score_only_black_box,logistic_regression,prob_attack,2332,1166,1166,0.501962405373519,0.4797212934110311,0.5252554742827278,0.023156089193825,0.010903504923331,0.0668438785139714,0.5038593481989708,0.5019472090004327,0.9948542024013722,0.0,0.0,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_8,family_group=Rare,score_only_black_box,logistic_regression,prob_attack,208,104,104,0.5671227810650887,0.4926238553113553,0.641761653229543,0.1538461538461538,0.0747245961277592,0.2961403474116708,0.4951923076923077,0.4973821989528796,0.9134615384615384,0.0288461538461538,0.0865384615384615,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_8,binary_group=Attack,label_aware_audit,loss_threshold,loss,11726,5863,5863,0.5086077960262075,0.4989019230106676,0.5177291403044234,0.0257547330718062,0.0108541086502502,0.0442932360377787,0.5004264028654273,0.500232450023245,0.9176189663994542,0.0,0.0,-0.0008858789,0.4989582443666265,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_8,binary_group=Normal,label_aware_audit,loss_threshold,loss,13468,6734,6734,0.4973719509285295,0.4870490147505621,0.50663463690545,0.0065340065340065,0.0029587689529551,0.0245421801163106,0.5007425007425008,0.5006043026347595,0.6150876150876151,0.0111375111375111,0.0444015444015444,-0.0008858789,0.4989582443666265,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_8,family_group=DoS,label_aware_audit,loss_threshold,loss,9186,4593,4593,0.5089706886950953,0.4988363858843292,0.5194502306940012,0.028957108643588,0.0152044761481119,0.048619480118886,0.5015240583496625,0.5007959972708665,0.9588504245591116,0.0,0.0,-0.0008858789,0.4989582443666265,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_8,family_group=Normal,label_aware_audit,loss_threshold,loss,13468,6734,6734,0.4973719509285295,0.487968919595889,0.5068553122417081,0.0065340065340065,0.0029648097313702,0.0249363436876307,0.5007425007425008,0.5006043026347595,0.6150876150876151,0.0111375111375111,0.0444015444015444,-0.0008858789,0.4989582443666265,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_8,family_group=Probe,label_aware_audit,loss_threshold,loss,2332,1166,1166,0.501962405373519,0.4772233360085245,0.5249182535818466,0.023156089193825,0.0120625452911,0.0686190868723547,0.4961406518010292,0.4977052524222335,0.8370497427101201,0.0,0.0,-0.0008858789,0.4989582443666265,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_8,family_group=Rare,label_aware_audit,loss_threshold,loss,208,104,104,0.5671227810650887,0.4879503779395296,0.6440644981929387,0.1538461538461538,0.0736486623696351,0.2989656667865403,0.5,0.0,0.0,0.0288461538461538,0.0865384615384615,-0.0008858789,0.4989582443666265,True,8.0,7.99364894672444,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,binary_group=Attack,score_only_black_box,random_forest,prob_attack,11726,5863,5863,0.5025692099923639,0.4932996232580952,0.5116008641205183,0.0182500426402865,0.006398164608265,0.035526754691052,0.500767525157769,0.5081669691470054,0.0477571209278526,0.0127920859628176,0.0508272215589288,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,binary_group=Normal,score_only_black_box,random_forest,prob_attack,13468,6734,6734,0.5041024654553018,0.4946251203932612,0.5141706842915658,0.013068013068013,0.0060409205013555,0.0286747148555152,0.4996287496287496,0.4988100904331271,0.1556281556281556,0.008019008019008,0.0454410454410454,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,family_group=DoS,score_only_black_box,random_forest,prob_attack,9186,4593,4593,0.5019153949707829,0.4916667006533892,0.5117760045629386,0.0165469192249074,0.0053045150632954,0.033754612246961,0.5,0.5,0.025908991944263,0.0117570215545395,0.047028086218158,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,family_group=Normal,score_only_black_box,random_forest,prob_attack,13468,6734,6734,0.5041024654553018,0.4949291264538845,0.5142147330370374,0.013068013068013,0.0066537766961366,0.0289826008403587,0.4996287496287496,0.4988100904331271,0.1556281556281556,0.008019008019008,0.0454410454410454,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,family_group=Probe,score_only_black_box,random_forest,prob_attack,2332,1166,1166,0.5058397741615646,0.4839990698755052,0.5293528446891144,0.0317324185248713,0.0136013988975556,0.0721957388788473,0.5042881646655232,0.518796992481203,0.1183533447684391,0.0102915951972555,0.0531732418524871,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,family_group=Rare,score_only_black_box,random_forest,prob_attack,208,104,104,0.5235299556213017,0.4405359640722798,0.6050603736640288,0.1538461538461538,0.069914177572335,0.2698327984646189,0.4951923076923077,0.4893617021276595,0.2211538461538461,0.0,0.0288461538461538,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,binary_group=Attack,label_aware_audit,random_forest,loss + correctness,11726,5863,5863,0.5046393329944996,0.4954537411971397,0.5135856317010601,0.0201262152481664,0.0094117405973112,0.0365476853494117,0.495650690772642,0.4804297774366846,0.1067712775029848,0.0110864745011086,0.0491216100972198,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,binary_group=Normal,label_aware_audit,random_forest,loss + correctness,13468,6734,6734,0.5005336544911835,0.4907415936660089,0.5102036095887802,0.0118800118800118,0.0028344515100265,0.0305204323545222,0.5048262548262548,0.5072625698324023,0.3370953370953371,0.0065340065340065,0.0442530442530442,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,family_group=DoS,label_aware_audit,random_forest,loss + correctness,9186,4593,4593,0.5015066139941937,0.4917019463204956,0.5109760124899921,0.0143696930111039,0.0078059785667909,0.0325689943375102,0.4958632701937731,0.4699367088607595,0.0646636185499673,0.0093620727193555,0.0428913564119312,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,family_group=Normal,label_aware_audit,random_forest,loss + correctness,13468,6734,6734,0.5005336544911835,0.490978014396227,0.5102368169608255,0.0118800118800118,0.0029802596745008,0.0294401907735998,0.5048262548262548,0.5072625698324023,0.3370953370953371,0.0065340065340065,0.0442530442530442,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,family_group=Probe,label_aware_audit,random_forest,loss + correctness,2332,1166,1166,0.5110010179793991,0.4877766113612339,0.5332064136117758,0.039451114922813,0.0138207017497201,0.0791028788132033,0.4931389365351629,0.4865319865319865,0.2478559176672384,0.0128644939965694,0.062607204116638,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_4,family_group=Rare,label_aware_audit,random_forest,loss + correctness,208,104,104,0.5471523668639053,0.4628580840423135,0.6253919907190717,0.1153846153846154,0.0539238091471791,0.2619337613946371,0.514423076923077,0.5194805194805194,0.3846153846153846,0.0384615384615384,0.0769230769230769,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_2,binary_group=Attack,score_only_black_box,logistic_regression,prob_attack,11726,5863,5863,0.5082843174887954,0.4988776015384269,0.5188413389125426,0.0249019273409516,0.0108636830514382,0.0430618173533607,0.500767525157769,0.5003875635173543,0.9909602592529422,0.0,0.0,0.4998017801421607,0.5018781072656153,True,2.0,1.999037532733395,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_2,binary_group=Normal,score_only_black_box,logistic_regression,prob_attack,13468,6734,6734,0.5032389748011963,0.4935628518540976,0.5134647979362841,0.0152955152955152,0.0078460944199678,0.0322296095557989,0.500965250965251,0.5057983942908117,0.0841995841995842,0.0124740124740124,0.0485595485595485,0.4998017801421607,0.5018781072656153,True,2.0,1.999037532733395,1.134031140495118e-05,Experiment 05 seed 42; exploratory
dp_eps_2,family_group=DoS,score_only_black_box,logistic_regression,prob_attack,9186,4593,4593,0.5080236687669576,0.4966909648499262,0.5186379382445042,0.0263444371870237,0.0133886552285072,0.0466280725317116,0.4998911386893098,0.4999450609823096,0.9906379272806444,0.0,0.0,0.4998017801421607,0.5018781072656153,True,2.0,1.999037532733395,1.134031140495118e-05,Experiment 05 seed 42; exploratory
