condition,formal_dp,actual_epsilon,delta,n_seeds,analysis_role,threat_model,ids_recall_mean,ids_recall_standard_deviation,ids_recall_ci_low,ids_recall_ci_high,ids_fnr_mean,ids_fnr_standard_deviation,ids_fnr_ci_low,ids_fnr_ci_high,ids_f1_mean,ids_f1_standard_deviation,ids_f1_ci_low,ids_f1_ci_high,ids_fpr_mean,ids_fpr_standard_deviation,ids_fpr_ci_low,ids_fpr_ci_high,ids_precision_mean,ids_precision_standard_deviation,ids_precision_ci_low,ids_precision_ci_high,ids_pr_auc_mean,ids_pr_auc_standard_deviation,ids_pr_auc_ci_low,ids_pr_auc_ci_high,ids_threshold_mean,ids_threshold_standard_deviation,ids_threshold_ci_low,ids_threshold_ci_high,mia_auc_mean,mia_auc_standard_deviation,mia_auc_ci_low,mia_auc_ci_high,mia_advantage_mean,mia_advantage_standard_deviation,mia_advantage_ci_low,mia_advantage_ci_high,mia_balanced_accuracy_mean,mia_balanced_accuracy_standard_deviation,mia_balanced_accuracy_ci_low,mia_balanced_accuracy_ci_high,tpr_at_1pct_fpr_mean,tpr_at_1pct_fpr_standard_deviation,tpr_at_1pct_fpr_ci_low,tpr_at_1pct_fpr_ci_high,tpr_at_5pct_fpr_mean,tpr_at_5pct_fpr_standard_deviation,tpr_at_5pct_fpr_ci_low,tpr_at_5pct_fpr_ci_high
non_private,False,,,5,primary,score_only_black_box,0.7093430998207745,0.0222388342486471,0.6817299399722084,0.7369562596693405,0.2906569001792254,0.0222388342486471,0.2630437403306594,0.3182700600277915,0.8097495523234578,0.01614275395438,0.7897056759064426,0.829793428740473,0.056101328390485,0.0227409635275561,0.0278646926938535,0.0843379640871164,0.943955490704032,0.0213329336064304,0.917467155068856,0.970443826339208,0.937504275553237,0.0078812497398245,0.927718411490444,0.94729013961603,0.206,0.0687749954561976,0.1206045641654118,0.2913954358345882,0.5022965684045243,0.0016007857913388,0.5003089303185827,0.5042842064904659,0.0094149400650948,0.0024829552786812,0.0063319438864063,0.0124979362437834,0.5003969199015639,0.0011078261282013,0.4990213720819067,0.501772467721221,0.0002857823291259,0.0006390287146939,-0.0005076766197278,0.0010792412779798,0.0055092482337064,0.0123190535554882,-0.0097868770580874,0.0208053735255002
non_private,False,,,5,primary,label_aware_audit,0.7093430998207745,0.0222388342486471,0.6817299399722084,0.7369562596693405,0.2906569001792254,0.0222388342486471,0.2630437403306594,0.3182700600277915,0.8097495523234578,0.01614275395438,0.7897056759064426,0.829793428740473,0.056101328390485,0.0227409635275561,0.0278646926938535,0.0843379640871164,0.943955490704032,0.0213329336064304,0.917467155068856,0.970443826339208,0.937504275553237,0.0078812497398245,0.927718411490444,0.94729013961603,0.206,0.0687749954561976,0.1206045641654118,0.2913954358345882,0.5008819675535988,0.0012805452494967,0.4992919606192278,0.5024719744879698,0.0078590140509645,0.0027573794447818,0.0044352752649918,0.0112827528369372,0.5010161149480036,0.0016579663094515,0.4989574778713229,0.5030747520246843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,5,primary,score_only_black_box,0.7133795683004752,0.0137525995488896,0.6963034605589056,0.7304556760420449,0.2866204316995246,0.0137525995488897,0.2695443239579549,0.3036965394410943,0.8016574281225066,0.0082370447717986,0.7914297861777717,0.8118850700672415,0.0875502008032128,0.0042059112501767,0.0823278722242281,0.0927725293821974,0.9150515732332734,0.002758992957886,0.9116258310061686,0.918477315460378,0.8906807426597549,0.0062529205297876,0.8829167163542885,0.8984447689652214,0.024,0.0089442719099991,0.0128942195792088,0.0351057804207912,0.5030088463196154,0.0002205912444309,0.5027349461130866,0.5032827465261442,0.0110661268556005,0.0011875801003388,0.0095915514000265,0.0125407023111745,0.5009287925696595,0.0002472400016257,0.5006218035607249,0.501235781578594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dp_eps_4,True,3.9982670408726286,1.134031140495118e-05,5,primary,label_aware_audit,0.7133795683004752,0.0137525995488896,0.6963034605589056,0.7304556760420449,0.2866204316995246,0.0137525995488897,0.2695443239579549,0.3036965394410943,0.8016574281225066,0.0082370447717986,0.7914297861777717,0.8118850700672415,0.0875502008032128,0.0042059112501767,0.0823278722242281,0.0927725293821974,0.9150515732332734,0.002758992957886,0.9116258310061686,0.918477315460378,0.8906807426597549,0.0062529205297876,0.8829167163542885,0.8984447689652214,0.024,0.0089442719099991,0.0128942195792088,0.0351057804207912,0.501593895087702,0.0004519322718984,0.5010327470560593,0.5021550431193448,0.0109708660792252,0.0009058126109769,0.0098461511710561,0.0120955809873942,0.5014447884416924,0.00203875464587,0.4989133401967448,0.5039762366866399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dp_eps_2,True,1.9990375327333951,1.134031140495118e-05,5,primary,score_only_black_box,0.7010831450167536,0.0115563045763017,0.6867340976720823,0.715432192361425,0.2989168549832462,0.0115563045763018,0.2845678076385748,0.3132659023279177,0.7946051633975273,0.0074427211584106,0.7853638044864594,0.8038465223085952,0.083822469364638,0.0014833549882492,0.081980640879173,0.085664297850103,0.917031933974882,0.0005215225307189,0.916384378224236,0.917679489725528,0.8905750398831309,0.0062900178702285,0.8827649511456098,0.898385128620652,0.028,0.0044721359549995,0.0224471097896044,0.0335528902103956,0.503268307222293,0.0002728919687054,0.5029294670893524,0.5036071473552336,0.0114471699611018,0.0007765847170847,0.0104829126763424,0.0124114272458612,0.5012622052869731,0.0004632244013938,0.5006870362246728,0.5018373743492733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dp_eps_2,True,1.9990375327333951,1.134031140495118e-05,5,primary,label_aware_audit,0.7010831450167536,0.0115563045763017,0.6867340976720823,0.715432192361425,0.2989168549832462,0.0115563045763018,0.2845678076385748,0.3132659023279177,0.7946051633975273,0.0074427211584106,0.7853638044864594,0.8038465223085952,0.083822469364638,0.0014833549882492,0.081980640879173,0.085664297850103,0.917031933974882,0.0005215225307189,0.916384378224236,0.917679489725528,0.8905750398831309,0.0062900178702285,0.8827649511456098,0.898385128620652,0.028,0.0044721359549995,0.0224471097896044,0.0335528902103956,0.501462557673199,0.0006045173786092,0.5007119502078914,0.5022131651385067,0.0113042787965388,0.000717975330926,0.0104127946765295,0.0121957629165482,0.5008811621814718,0.001528373569594,0.4989834357443007,0.5027788886186428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
