condition,seed,subset,threat_model,attack_model,feature_set,n,members,nonmembers,mia_auc,mia_advantage,mia_balanced_accuracy,mia_precision,mia_recall,tpr_at_1pct_fpr,tpr_at_5pct_fpr,operating_threshold,shadow_calibration_auc,analysis_role,run_source,formal_dp,target_epsilon,actual_epsilon,delta,noise_multiplier
non_private,42,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5017771153560524,0.0089703897753433,0.5020242914979758,0.5017138248538208,0.5926014130348496,0.0,0.0,0.4998595690083396,0.5009336124463495,primary,accepted_experiment_05,False,,,,
non_private,42,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5014386384991358,0.0056362626022068,0.5000396919901564,0.5000320286977131,0.6196713503215051,0.0,0.0,-1.4543639e-05,0.4997894100157125,primary,accepted_experiment_05,False,,,,
dp_eps_4,42,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5028840672053674,0.0128602048106692,0.500515995872033,0.5005141998259631,0.502262443438914,0.0,0.0,0.4998558078738151,0.501753946133048,primary,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,42,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.50166603008869,0.012225132968167,0.5043661189172025,0.5059536696254601,0.3710407239819004,0.0,0.0,-7.5102134e-06,0.4981167004499127,primary,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_2,42,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5029159922068966,0.0117488290862903,0.5008732237834405,0.5008639648130694,0.5062316424545527,0.0,0.0,0.4998017801421607,0.5018781072656153,primary,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
dp_eps_2,42,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5016083243565534,0.0111931412241009,0.5032547431928237,0.504264614104431,0.3848535365563229,0.0,0.0,-1.6808652e-05,0.4970485139461295,primary,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
non_private,52,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5047815346496959,0.0134952766531714,0.501031991744066,0.5009714541921985,0.5321902040168294,0.0,0.0,0.4998595690083396,0.5009336124463495,primary,trained_experiment_06,False,,,,
non_private,52,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.502346333217903,0.0118282130666031,0.5011510677145352,0.500930740098851,0.6195125823608796,0.0,0.0,-1.4543639e-05,0.4997894100157125,primary,trained_experiment_06,False,,,,
dp_eps_4,52,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.503100569256303,0.0111137572437882,0.5010716837342224,0.5010704940131631,0.5016273715964118,0.0,0.0,0.4998558078738151,0.501753946133048,primary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,52,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5019608385093459,0.0111137572437882,0.5,0.5,0.4391521790902596,0.0,0.0,-7.5102134e-06,0.4981167004499127,primary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
